,Artist Name,Track Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
380,Leroy Carr,Papa's on the House Top,29.0,0.683,0.285,-12.101,1,0.0366,0.994,0.122,0.783,94.913,175400.0,4,2
384,Johnny Winter,Third Degree,42.0,0.256,0.573,-12.179,1,0.0408,0.141,0.111,0.824,205.057,395600.0,3,2
405,Eugene Bridges,In Your Arms Again,8.0,0.668,0.614,-7.882,0,0.0278,0.127,0.367,0.46,103.57,308573.0,4,2
409,Johnny Adams,This Time I'm Gone For Good,29.0,0.418,0.387,-11.79,0,0.0634,0.216,0.142,0.361,202.033,280360.0,3,2
426,Shocking Blue,Inkpot,37.0,0.655,0.648,-8.708,1,0.0345,0.102,0.0946,0.712,125.603,159000.0,4,2
453,Walter Wolfman Washington,Landslide,18.0,0.705,0.811,-5.483,0,0.133,0.27,0.0233,0.549,97.938,313813.0,4,2
476,Lisa Mann,"Hard Times, Bad Decisions",29.0,0.624,0.849,-4.261,0,0.0358,0.0862,0.362,0.717,94.066,271867.0,4,2
479,Illinois Jacquet,Port Of Rico,34.0,0.769,0.25,-11.141,1,0.0556,0.711,0.0855,0.615,127.147,164573.0,4,2
553,Willie Dixon,Little Red Rooster,48.0,0.584,0.278,-18.566,1,0.0312,0.55,0.255,0.75,81.712,215027.0,4,2
559,The Robert Cray Band,Phone Booth,2.0,0.575,0.838,-11.252,0,0.0534,0.0297,0.974,0.488,113.303,278693.0,4,2
568,Kenny Neal,Hooked On Your Love,13.0,0.576,0.693,-9.936,1,0.0374,0.546,0.186,0.908,159.786,285093.0,3,2
580,Fleetwood Mac,Hellhound on My Trail,26.0,0.451,0.0589,-16.082,1,0.0361,0.954,0.1,0.266,64.826,125293.0,4,2
595,Kris Barras Band,Ignite (Light It Up),37.0,0.604,0.818,-6.083,1,0.0379,0.00335,0.0411,0.697,102.993,196104.0,4,2
626,Mick Fleetwood and Friends,Rattlesnake Shake (with Steven Tyler & Billy Gibbons) - Live from The London Palladium,38.0,0.492,0.871,-8.919,1,0.0623,0.0157,0.847,0.354,106.399,289800.0,4,2
648,Johnny B. Moore,Lonesome Blues,32.0,0.439,0.326,-14.278,1,0.0348,0.448,0.135,0.548,159.619,443053.0,3,2
650,Swamp Dogg,"Sleeping Without You Is a Dragg (feat. Justin Vernon, Jenny Lewis)",41.0,0.674,0.313,-11.384,1,0.0425,0.289,0.091,0.514,77.019,241773.0,4,2
681,The Teskey Brothers,Never Tear Us Apart,48.0,0.311,0.583,-5.068,1,0.0343,0.846,0.124,0.324,188.873,204605.0,3,2
684,Little Milton,Guitar Man,15.0,0.623,0.675,-4.903,0,0.112,0.414,0.0442,0.83,170.601,257560.0,4,2
685,Houston Stackhouse,Cool Drink Of Water,29.0,0.538,0.0814,-18.022,1,0.0788,0.989,0.0935,0.26,174.765,196827.0,4,2
687,Fab Samperi,That's Alright,21.0,0.816,0.771,-6.414,1,0.0342,0.276,0.157,0.893,109.965,161253.0,4,2
741,Eric Von Schmidt,Turtle Beach,35.0,0.535,0.141,-16.568,1,0.0325,0.968,0.0932,0.536,95.664,233933.0,4,2
743,The Cash Box Kings,The Wine Talkin',17.0,0.627,0.859,-3.334,1,0.0975,0.722,0.315,0.807,123.179,229507.0,4,2
748,Carey Bell,Everything's Gonna Be All Right,34.0,0.692,0.625,-10.375,1,0.0362,0.883,0.282,0.842,118.774,279800.0,4,2
756,Rose Cousins,Chains,42.0,0.381,0.593,-7.376,1,0.0382,0.396,0.113,0.477,79.848,194571.0,4,2
767,Cedric Burnside,Coldwater,34.0,0.604,0.612,-6.92,1,0.0262,0.314,0.104,0.375,102.969,247145.0,4,2
784,Tommy Johnson,Canned Heat Blues,32.0,0.747,0.162,-16.498,1,0.031,0.964,0.132,0.716,93.09,219141.0,1,2
788,Me And That Man,My Church Is Black,40.0,0.38,0.843,-2.939,0,0.0346,0.0279,0.113,0.306,106.149,178987.0,4,2
803,"Christone ""Kingfish"" Ingram",Listen,35.0,0.617,0.593,-7.761,1,0.028,0.385,0.137,0.614,95.086,329237.0,4,2
805,Rory Gallagher,Bourbon,17.0,0.301,0.813,-8.145,1,0.0459,0.0949,0.308,0.563,158.675,234901.0,4,2
811,Son Little,belladonna,37.0,0.586,0.401,-11.063,0,0.223,0.128,0.263,0.405,115.951,195341.0,4,2
812,Pee Wee Crayton,Let The Good Times Roll,36.0,0.619,0.839,-10.204,1,0.416,0.265,0.0789,0.743,162.385,173000.0,4,2
834,Shemekia Copeland,Promised Myself,31.0,0.602,0.324,-7.498,1,0.0479,0.57,0.108,0.261,124.136,319458.0,3,2
869,Lucky Peterson,Funky Broadway,16.0,0.584,0.635,-9.223,1,0.127,0.219,0.351,0.915,91.121,281013.0,4,2
880,Long John Hunter,Crazy Love,30.0,0.47,0.401,-12.476,1,0.0355,0.297,0.174,0.407,188.037,341933.0,3,2
912,Ten Years After,Hear Me Calling - Mono,21.0,0.413,0.705,-9.565,1,0.0356,0.0446,0.0951,0.571,128.54,348240.0,4,2
924,Muddy Waters,Got My Mojo Working,49.0,0.519,0.779,-9.159,1,0.0648,0.573,0.286,0.888,113.487,173040.0,4,2
948,Flat Duo Jets,Frog Went a Courtin',32.0,0.189,0.997,-8.196,1,0.119,0.193,0.193,0.084,186.337,138413.0,4,2
957,Joey Gilmore,Blues All Over You,11.0,0.723,0.595,-7.407,0,0.03,0.161,0.181,0.892,122.477,221587.0,4,2
965,La Rata Bluesera,Blues de la Transición,24.0,0.412,0.379,-12.424,0,0.0603,0.327,0.692,0.248,102.96,212815.0,4,2
969,The War and Treaty,Set My Soul on Fire,44.0,0.507,0.328,-10.767,0,0.0382,0.484,0.128,0.299,122.416,299680.0,4,2
986,The Peterson Brothers,Lose a Good Thing,35.0,0.641,0.646,-5.987,1,0.0231,0.0166,0.127,0.313,94.007,329511.0,4,2
993,Marcia Ball,The Party's Still Going On,21.0,0.592,0.94,-4.265,1,0.0454,0.225,0.276,0.967,159.713,205280.0,4,2
1115,Shea Diamond,Keisha Complexion,10.0,0.634,0.745,-7.405,1,0.258,0.159,0.408,0.75,176.048,198991.0,4,2
1141,Brittany Howard,Stay High,54.0,0.598,0.853,-5.373,1,0.0545,0.132,0.132,0.312,121.988,191396.0,1,2
1173,Thelonious Monk Septet,Well You Needn't,31.0,0.472,0.23,-18.543,0,0.035,0.472,0.141,0.498,93.099,682173.0,4,2
1188,Tamikrest,Aratane N' Adagh,18.0,0.48,0.382,-9.017,0,0.0339,0.976,0.113,0.102,144.069,312333.0,3,2
1196,Adrián Otero,Me Gusta Ese Tajo,22.0,0.777,0.594,-6.35,1,0.0419,0.107,0.125,0.724,108.073,168386.0,4,2
1202,Jeff Beck,I Ain't Superstitious,30.0,0.421,0.596,-10.877,1,0.362,0.536,0.107,0.516,167.873,293027.0,3,2
1209,Billy Boy Arnold,I Wish You Would,25.0,0.654,0.568,-11.979,1,0.0272,0.226,0.114,0.762,95.116,219560.0,4,2
1215,Cedric Burnside,We Made It,45.0,0.725,0.746,-7.785,1,0.0292,0.0223,0.293,0.819,107.205,214613.0,4,2
1227,Nasta Super,Que Curioso,17.0,0.701,0.612,-9.65,0,0.0325,0.367,0.103,0.26,99.131,314840.0,3,2
1236,"Johnny ""Guitar"" Watson",Cuttin' In,29.0,0.537,0.356,-12.071,1,0.0315,0.721,0.0973,0.564,85.307,195133.0,3,2
1242,Cheap Trick,California Man,36.0,0.527,0.939,-7.97,1,0.0467,0.0065,0.177,0.865,155.838,224800.0,4,2
1250,Hannah Wicklund,Bomb Through the Breeze,44.0,0.401,0.591,-4.65,1,0.0299,0.00252,0.313,0.691,82.133,164645.0,4,2
1258,The Cold Stares,In the Middle,27.0,0.703,0.606,-9.871,1,0.0303,0.0392,0.139,0.567,90.065,214818.0,4,2
1259,Syl Johnson,Who's Still in Love,9.0,0.749,0.857,-6.188,1,0.0603,0.0709,0.067,0.847,118.728,189093.0,4,2
1263,Josh Teskey,Push The Blues Away,51.0,0.538,0.381,-8.119,1,0.0349,0.797,0.115,0.193,86.023,209619.0,4,2
1269,Ali Handal,Shut Your Mouth and Do Something,31.0,0.611,0.688,-6.044,1,0.0848,0.00402,0.15,0.691,119.995,200449.0,4,2
1290,Curley Weaver,You Was Born To Die,37.0,0.564,0.269,-13.749,1,0.0443,0.995,0.132,0.602,103.355,171546.0,4,2
1304,Songhoy Blues,Soubour,43.0,0.62,0.875,-5.957,0,0.0256,0.0159,0.344,0.903,101.872,212307.0,4,2
1351,Gary Moore,Cold Wind Blows,11.0,0.608,0.739,-10.582,0,0.0416,0.0102,0.202,0.268,97.884,329733.0,4,2
1364,Eddie Burns,You Got To Love Me With A Feeling,5.0,0.49,0.485,-8.14,1,0.132,0.733,0.0867,0.523,185.73,336040.0,3,2
1365,Sonny Boy Williamson I,Got The Bottle Up And Gone,35.0,0.612,0.117,-15.357,1,0.177,0.99,0.0788,0.781,172.444,153260.0,4,2
1379,Muddy Waters,I'm Your Hoochie Coochie Man,3.0,0.469,0.297,-12.576,1,0.0733,0.908,0.0604,0.802,71.683,172373.0,4,2
1398,Climax Blues Band,"Hey Baby, Everything's Gonna Be Alright, Yeh Yeh Yeh",31.0,0.462,0.877,-9.245,0,0.0459,0.147,0.362,0.852,133.131,266120.0,4,2
1400,Elmore James,The Sky Is Crying,53.0,0.294,0.611,-6.268,1,0.0348,0.0226,0.114,0.567,178.191,166400.0,3,2
1404,Sonny Landreth,Soul Salvation - Live,27.0,0.561,0.836,-8.904,1,0.0913,0.184,0.859,0.495,132.041,272160.0,3,2
1446,Willie Dixon,The Little Red Rooster,35.0,0.477,0.29,-18.066,1,0.0374,0.554,0.283,0.727,122.589,215203.0,3,2
1481,Billy Branch,Nobody But You,24.0,0.567,0.765,-6.625,1,0.0517,0.282,0.22,0.768,147.923,187187.0,4,2
1506,Les Sexareenos,(Oh Mom) Teach Me How to Uncle Willy,10.0,0.34,0.807,-8.196,1,0.0528,0.657,0.266,0.858,205.773,154387.0,4,2
1507,The Seeds,It's A Hard Life,20.0,0.679,0.489,-14.14,0,0.0327,0.0224,0.0848,0.863,102.357,160496.0,4,2
1533,Quaker City Night Hawks,Suit in the Back,38.0,0.744,0.562,-8.883,0,0.0327,0.0836,0.149,0.523,104.035,173253.0,4,2
1534,The Clovers,"Hey, Miss Fannie - 2007 Remaster",35.0,0.613,0.279,-13.187,1,0.0432,0.757,0.0874,0.955,165.259,146000.0,4,2
1535,Son House,Death Letter Blues,45.0,0.803,0.288,-15.418,0,0.0629,0.865,0.0833,0.865,115.685,259160.0,4,2
1544,Jessy Martens and Band,Stronger,35.0,0.718,0.676,-7.442,0,0.0307,0.219,0.338,0.595,97.027,230467.0,4,2
1552,Earl Hooker,You Don't Want Me,49.0,0.593,0.464,-16.925,1,0.0374,0.509,0.166,0.763,113.001,316667.0,4,2
1564,Joanne Shaw Taylor,Creepin',27.0,0.427,0.85,-5.524,1,0.0407,0.0493,0.348,0.695,135.208,221430.0,4,2
1583,Bryce Janey,Funky Guitar Blues,43.0,0.563,0.871,-5.825,1,0.029,0.000197,0.0928,0.517,114.894,261627.0,4,2
1592,Bettye LaVette,Blues For The Weepers,33.0,0.617,0.57,-6.823,0,0.105,0.761,0.109,0.64,145.035,226027.0,4,2
1630,Tommy Castro,Love Is,41.0,0.76,0.776,-5.094,0,0.0645,0.0315,0.102,0.935,99.006,280480.0,4,2
1631,Leon Bridges,River,74.0,0.635,0.184,-10.785,1,0.0456,0.665,0.146,0.177,128.424,240200.0,4,2
1643,Geeshie Wiley,Last Kind Words Blues,32.0,0.393,0.315,-11.066,1,0.0305,0.939,0.252,0.376,137.741,181000.0,4,2
1647,Thee Mighty Caesars,Oh Yeah,10.0,0.478,0.714,-4.033,1,0.0417,0.694,0.353,0.731,112.234,161427.0,4,2
1659,Howlin' Wolf,How Many More Years,45.0,0.657,0.642,-12.98,1,0.085,0.926,0.12,0.737,110.543,163027.0,4,2
1667,Big Walter Horton,Little Boy Blue,25.0,0.382,0.33,-15.964,0,0.0784,0.385,0.196,0.647,205.835,194573.0,3,2
1669,Little Walter,Juke,50.0,0.566,0.657,-10.33,1,0.0693,0.751,0.156,0.643,145.359,164893.0,4,2
1685,Hound Dog Taylor,"Wild About You, Baby",33.0,0.509,0.53,-15.929,0,0.0389,0.14,0.321,0.969,123.037,219067.0,4,2
1716,Johnny Winter,Mean Mistreater,48.0,0.554,0.49,-8.725,1,0.0267,0.736,0.327,0.578,67.591,232453.0,4,2
1725,Richie Kotzen,Go Faster,38.0,0.504,0.939,-1.786,0,0.0554,0.133,0.626,0.741,118.09,175773.0,4,2
1728,Ben Harper And The Innocent Criminals,Call It What It Is,39.0,0.615,0.56,-7.721,1,0.0389,0.442,0.132,0.502,131.859,227600.0,4,2
1741,Kenny Neal,Old Friends,25.0,0.559,0.639,-9.845,1,0.0327,0.126,0.0928,0.857,118.925,277933.0,3,2
1754,Philip Sayce,Burning Out,44.0,0.255,0.947,-4.14,1,0.071,0.000103,0.397,0.235,159.905,208974.0,4,2
1755,Carolyn Wonderland,Open Eyes,35.0,0.482,0.402,-11.261,1,0.0472,0.228,0.0742,0.314,173.302,321494.0,3,2
1757,Taj Mahal,All Around The World,35.0,0.782,0.846,-5.69,1,0.0284,0.00415,0.0603,0.892,106.997,202160.0,4,2
1787,Joe Louis Walker,Uptown to Harlem,12.0,0.85,0.761,-7.328,1,0.0506,0.154,0.0787,0.746,120.929,263725.0,4,2
1792,Phillip Walker,Dressin' Tasty,13.0,0.484,0.802,-9.15,1,0.0339,0.00469,0.186,0.944,130.967,231332.0,4,2
1802,Nikki Hill,Nothin' With You,29.0,0.397,0.367,-9.16,1,0.0363,0.586,0.103,0.524,178.975,216547.0,3,2
1804,Joe Louis Walker,Old Time Used to Be,39.0,0.654,0.616,-9.803,1,0.0569,0.0704,0.198,0.759,123.437,317820.0,4,2
1806,Howlin' Wolf,Spoonful,55.0,0.821,0.376,-13.622,1,0.0487,0.669,0.106,0.824,119.039,170000.0,4,2
1809,Colin James,See That My Grave Is Kept Clean,37.0,0.604,0.0518,-14.453,1,0.0506,0.82,0.119,0.399,133.217,183312.0,4,2
1825,TORA,Cry for Me,32.0,0.703,0.313,-9.755,0,0.0484,0.667,0.131,0.547,101.036,180583.0,5,2
1833,The Temperance Movement,Love and Devotion,28.0,0.443,0.909,-3.995,1,0.031,0.0351,0.349,0.623,90.272,203720.0,4,2
1835,Jared James Nichols,Honey Forgive Me,31.0,0.596,0.932,-4.331,0,0.034,0.000943,0.229,0.839,93.057,142063.0,4,2
1836,Lake Street Dive,Mistakes,54.0,0.753,0.39,-7.294,0,0.0403,0.371,0.125,0.374,136.747,248387.0,4,2
1837,Buddy Guy,(Baby) You Got What It Takes (feat. Joss Stone),29.0,0.632,0.542,-4.724,1,0.108,0.755,0.383,0.752,136.318,197947.0,4,2
1851,Shemekia Copeland,When A Woman's Had Enough,18.0,0.694,0.774,-4.858,1,0.195,0.218,0.195,0.867,171.919,234907.0,4,2
1889,Eddy Clearwater,Gotta Move On,32.0,0.31,0.718,-3.837,1,0.0706,0.179,0.336,0.274,185.561,280440.0,3,2
1899,The War and Treaty,Love Like There's No Tomorrow,41.0,0.485,0.286,-12.266,1,0.0462,0.934,0.331,0.327,70.634,144107.0,4,2
1921,Elmore James,CrossRoads,33.0,0.632,0.765,-4.577,1,0.0331,0.315,0.244,0.95,99.617,178907.0,4,2
1926,Joe Cocker,I Shall Be Released,43.0,0.379,0.363,-13.502,1,0.0308,0.823,0.0951,0.411,60.564,275960.0,4,2
1932,Eric Clapton,Milkcow's Calf Blues,38.0,0.458,0.758,-6.193,0,0.0286,0.262,0.18,0.784,168.974,199133.0,4,2
1970,Sylvester Cotton,When I'm Gone,4.0,0.569,0.249,-12.789,1,0.0421,0.96,0.0817,0.462,105.513,169348.0,4,2
1995,Kelly Joe Phelps,Lead Me On,41.0,0.345,0.307,-13.97,1,0.031,0.834,0.101,0.483,176.666,287947.0,4,2
2001,Thee Headcoatees,Round Every Corner,14.0,0.592,0.547,-13.09,1,0.0627,0.303,0.0709,0.736,133.581,145400.0,4,2
2005,Little Walter,Last Night - Single Version,6.0,0.468,0.419,-10.746,1,0.139,0.977,0.143,0.472,207.452,163213.0,3,2
2013,John Lee Hooker,Moon Is Rising,35.0,0.654,0.159,-15.9,1,0.0698,0.979,0.0911,0.322,129.481,169600.0,4,2
2049,Big Joe Williams,Baby Please Don't Go,40.0,0.499,0.302,-15.15,1,0.0495,0.752,0.129,0.564,167.075,164507.0,4,2
2060,Corey Harris,Station Blues,7.0,0.686,0.452,-13.339,1,0.0914,0.54,0.059,0.833,106.944,209467.0,4,2
2065,Fenton Robinson,Somebody Loan Me A Dime,48.0,0.69,0.584,-8.864,1,0.0746,0.47,0.297,0.809,118.017,179693.0,3,2
2072,Sugaray Rayford,Homemade Disaster,28.0,0.556,0.87,-4.816,0,0.166,0.162,0.0941,0.955,169.826,194564.0,4,2
2081,Harmonica Shah,Who's the Fool,16.0,0.527,0.657,-6.333,0,0.196,0.321,0.591,0.556,124.075,337247.0,4,2
2097,Paulo Mendonca,Just in case,37.0,0.536,0.969,-2.62,0,0.0915,0.43,0.082,0.805,84.881,239575.0,4,2
2098,Pappo's Blues,El Hombre Suburbano,40.0,0.618,0.819,-4.979,1,0.0941,0.555,0.122,0.678,124.523,138978.0,4,2
2113,The Chords,Sh-Boom - Single Version,47.0,0.667,0.467,-8.991,1,0.0499,0.851,0.272,0.905,136.676,144320.0,4,2
2125,Peter Green,A Fool No More,48.0,0.393,0.132,-18.825,0,0.0321,0.0776,0.0956,0.293,87.168,464667.0,4,2
2178,Guy Verlinde,Love Light Shine,7.0,0.635,0.793,-6.744,1,0.0375,0.106,0.189,0.775,96.042,257573.0,4,2
2219,Los Queltehues,Pescado Frito,16.0,0.575,0.914,-6.432,1,0.0731,0.397,0.455,0.854,127.029,260399.0,4,2
2233,Ruthie Foster,What Are You Listening To?,37.0,0.526,0.646,-4.113,1,0.0351,0.159,0.1,0.473,147.675,257853.0,4,2
2262,Papa Charlie's Boys,You Can't Play Me Cheap,24.0,0.692,0.301,-14.094,0,0.0403,0.938,0.11,0.713,92.059,172042.0,4,2
2279,Jeremie Albino,Saw That Light,21.0,0.601,0.912,-2.001,0,0.0439,0.169,0.274,0.641,115.0,111893.0,4,2
2292,Fleetwood Mac,My Heart Beat Like a Hammer,28.0,0.493,0.627,-9.554,1,0.0443,0.73,0.153,0.829,117.035,212093.0,4,2
2297,The Cold Stares,Third World War,20.0,0.521,0.887,-4.474,1,0.0375,0.0228,0.198,0.739,87.047,202908.0,4,2
2300,Robert Cray,This Man,49.0,0.759,0.852,-6.535,0,0.0448,0.774,0.0917,0.889,80.619,306533.0,4,2
2308,Dexter Gordon,Tenor madness,32.0,0.442,0.677,-9.76,1,0.144,0.513,0.282,0.649,123.31,762667.0,4,2
2310,Albert Collins,"Honey, Hush aka Talking Woman Blues",47.0,0.862,0.707,-6.742,1,0.0324,0.0947,0.124,0.863,122.21,268160.0,4,2
2315,Fantastic Negrito,Nothing Without You,32.0,0.674,0.493,-6.821,1,0.0318,0.397,0.101,0.35,124.941,255785.0,3,2
2353,Matt Schofield,Black Cat Bone,21.0,0.529,0.555,-10.687,1,0.0566,0.0265,0.676,0.632,109.579,590720.0,4,2
2358,Magic Sam,All Your Love,49.0,0.433,0.7,-8.197,1,0.163,0.843,0.102,0.8,80.623,176186.0,4,2
2377,Piers Faccini,Bring Down The Wall,28.0,0.454,0.387,-10.159,0,0.0417,0.406,0.0783,0.686,97.995,205533.0,4,2
2383,Swamp,Riot,17.0,0.354,0.689,-3.504,1,0.0385,0.16,0.14,0.41,137.444,175109.0,3,2
2386,Faces,Had Me a Real Good Time - 2018 Remaster,19.0,0.456,0.834,-6.685,1,0.0328,0.225,0.126,0.9,114.817,174093.0,4,2
2388,Louis Myers,Bluesy,4.0,0.605,0.601,-14.501,0,0.0838,0.959,0.527,0.88,138.213,167146.0,4,2
2467,Freddie King,Palace Of The King,39.0,0.656,0.773,-9.156,0,0.0363,0.335,0.155,0.867,114.979,220240.0,4,2
2486,Sleepy John Estes,Little Laura Blues,33.0,0.812,0.248,-11.129,1,0.0534,0.986,0.137,0.742,125.33,151301.0,4,2
2493,George Thorogood,No Expectations,40.0,0.511,0.276,-9.215,1,0.0393,0.746,0.0994,0.269,122.265,236813.0,1,2
2513,Albert Collins,Put The Shoe On The Other Foot,17.0,0.489,0.586,-13.885,1,0.0596,0.0352,0.059,0.882,167.722,332560.0,4,2
2534,The Gun Club,Promise Me,23.0,0.246,0.565,-13.624,1,0.0824,5.6e-05,0.208,0.474,73.506,157200.0,4,2
2546,Million Miles,Ice Cream & Cigarettes,49.0,0.743,0.448,-7.173,1,0.0317,0.816,0.319,0.562,90.062,172240.0,4,2
2552,The Deadly Snakes,Playboys,30.0,0.21,0.86,-2.187,1,0.0738,0.0121,0.142,0.402,164.762,167507.0,3,2
2554,Larkin Poe,Easy Street,30.0,0.562,0.667,-5.106,1,0.0287,0.00534,0.0784,0.503,106.965,137110.0,4,2
2568,Richie Kotzen,Riot,41.0,0.599,0.906,-5.133,0,0.0641,0.0158,0.108,0.712,120.024,302423.0,4,2
2571,Stan Getz,Pennies From Heaven,37.0,0.701,0.137,-16.397,1,0.0417,0.991,0.155,0.68,92.341,311813.0,4,2
2580,Rory Gallagher,Cradle Rock,31.0,0.353,0.921,-8.303,1,0.0644,0.00118,0.327,0.556,103.156,375682.0,4,2
2614,The Steampacket,Cry Me A River,27.0,0.486,0.439,-14.008,0,0.0446,0.57,0.303,0.313,109.134,166067.0,4,2
2656,Eddie 9V,3AM in Chicago,24.0,0.614,0.545,-9.036,0,0.064,0.483,0.203,0.68,145.173,216787.0,4,2
2667,Jimmy Dawkins,It Serves Me Right To Suffer,17.0,0.53,0.629,-7.869,1,0.0529,0.46,0.0873,0.827,85.549,251427.0,4,2
2692,Gary Clark Jr.,Take Me Down,41.0,0.404,0.398,-9.907,1,0.0289,0.205,0.0917,0.251,75.867,287484.0,4,2
2700,Margo Price,Twinkle Twinkle,46.0,0.49,0.847,-2.915,1,0.0298,0.038,0.107,0.537,83.994,211587.0,4,2
2719,John Lee Hooker,Love Money Can't Buy,1.0,0.453,0.542,-7.379,1,0.0391,0.975,0.0927,0.487,81.921,156373.0,4,2
2748,Bud Powell,Blues In The Closet,31.0,0.697,0.134,-19.991,1,0.0545,0.862,0.1,0.416,96.519,180533.0,4,2
2757,Kenny Wayne Shepherd,Woman Like You - Live,30.0,0.143,0.912,-6.754,1,0.0823,0.00733,0.727,0.415,172.514,260133.0,4,2
2788,Taj Mahal,Mississippi-Mali Blues,12.0,0.855,0.304,-13.163,0,0.0657,0.892,0.0831,0.809,82.57,197960.0,4,2
2794,Magic Dick,Pontiac Blues,14.0,0.392,0.872,-4.834,1,0.0421,0.16,0.18,0.48,176.432,319493.0,4,2
2799,Washboard Willie,I Feel So Fine,6.0,0.547,0.486,-8.282,1,0.0404,0.0941,0.0761,0.927,135.534,142107.0,4,2
2845,K Theory,Good & Gone - Original Mix,14.0,0.854,0.846,-3.055,0,0.0885,0.00692,0.0549,0.799,102.99,252284.0,4,2
2867,Ida Mae,Little Liars,24.0,0.723,0.341,-9.546,0,0.0547,0.519,0.0611,0.737,143.884,235339.0,4,2
2879,Kamara Thomas & the Ghost Gamblers,My Kentucky,33.0,0.498,0.391,-9.158,1,0.0284,0.773,0.112,0.348,159.787,421080.0,4,2
2936,Albert King,Answer To The Laundromat Blues,39.0,0.703,0.525,-9.626,1,0.0528,0.22,0.0475,0.786,97.067,277013.0,4,2
2959,R.L. Burnside,Shuck Dub,30.0,0.602,0.467,-11.087,1,0.301,0.155,0.32,0.171,185.113,268227.0,4,2
3002,Alberta Adams,Chains Of Love,6.0,0.528,0.336,-6.532,1,0.04,0.284,0.335,0.256,172.565,414253.0,3,2
3014,Ali Farka Touré,Heygana,38.0,0.489,0.536,-13.289,0,0.0384,0.654,0.337,0.61,136.908,358627.0,4,2
3047,Benjamin Booker,Believe,40.0,0.482,0.567,-8.548,1,0.0286,0.189,0.357,0.646,167.581,234274.0,4,2
3050,Henrik Freischlader,A Better Man,33.0,0.312,0.772,-6.007,0,0.0544,0.123,0.679,0.628,142.413,368213.0,4,2
